LS random
maxIter, NumGen, %Aciertos, Tiempo
10, 5, 0.3, 0.5, 97.5, 0.011418
10, 5, 0.5, 0.5, 98.3333, 0.007922
10, 5, 0.7, 0.5, 98.3333, 0.0147545
10, 5, 0.3, 0.7, 98.3333, 0.0087395
10, 5, 0.5, 0.7, 98.3333, 0.011561
10, 5, 0.7, 0.7, 97.5, 0.0086975
10, 10, 0.3, 0.3, 97.5, 0.0309365
10, 10, 0.5, 0.3, 97.5, 0.0275555
10, 10, 0.7, 0.3, 98.3333, 0.034218
10, 10, 0.3, 0.5, 97.5, 0.03083
10, 10, 0.5, 0.5, 97.5, 0.0322265
10, 10, 0.7, 0.5, 98.3333, 0.031213
10, 10, 0.3, 0.7, 97.5, 0.031183
10, 10, 0.5, 0.7, 97.5, 0.0360255
10, 20, 0.3, 0.3, 97.5, 0.0646025
10, 20, 0.5, 0.3, 98.3333, 0.057857
10, 20, 0.7, 0.3, 98.3333, 0.061248
10, 20, 0.3, 0.5, 98.3333, 0.071442
10, 20, 0.5, 0.5, 98.3333, 0.0644825
10, 20, 0.7, 0.5, 97.5, 0.0545015
10, 20, 0.3, 0.7, 97.5, 0.071423
10, 20, 0.5, 0.7, 98.3333, 0.0611295
10, 20, 0.7, 0.7, 98.3333, 0.0646335
